time_s,input_current_density_A_m2,experiment_voltage_V,model_voltage_V,voltage_relative_error_percent,experiment_temperature_C,model_mean_temperature_full_domain_C,temperature_relative_error_percent_C_basis,model_max_ice_volume_fraction,voltage_absolute_error_V,temperature_absolute_error_C,model_mean_temperature_MEA_C,model_input_current_density_A_m2
0.0,60.0,0.799,0.7766626603744563,2.7956620307313815,-19.9953547791121,-19.999999999999996,0.023231500211993127,0.0,0.02233733962554374,0.004645220887898205,-20.000000000000007,60.0
0.2,60.0,0.799,0.7766689799404445,2.7948710963148384,-19.9953547791121,-19.998361508046266,0.015037137212030144,6.482604892519043e-27,0.022331020059555562,0.003006728934167313,-19.994659959886594,60.0
0.4,70.0,0.8,0.7696983355950954,3.787708050613084,-19.9939052077991,-19.99682158887935,0.014586350439999214,6.48261786645493e-27,0.03030166440490467,0.0029163810802508294,-19.992483619053438,70.0
0.6,70.0,0.8,0.7696889894488093,3.7888763188988483,-19.992502715072,-19.99520625632824,0.013522775486233861,6.474809964650956e-27,0.030311010551190787,0.0027035412562383954,-19.990844470415357,70.0
0.8,60.0,0.8,0.7766458717083105,2.919266036461199,-19.991066017965,-19.99376480293221,0.013499955253926655,6.474812997369103e-27,0.02335412829168959,0.002698784967208212,-19.990039366967537,60.0
1.0,60.0,0.8,0.7766376233767934,2.920297077900827,-19.9896333486865,-19.992406028888702,0.013870590589819537,6.475309056169805e-27,0.023362376623206615,0.002772680202202338,-19.988703217735424,60.0
1.2,70.0,0.8,0.7696592785799471,3.792590177506619,-19.9882428989544,-19.99088151804154,0.01320085562537337,6.473639752075572e-27,0.030340721420052952,0.002638619087139915,-19.986541826545157,70.0
1.4,70.0,0.8,0.769650228134146,3.79372148323176,-19.9868180776747,-19.98928160304889,0.012325750725378877,6.467853464212436e-27,0.03034977186585408,0.002463525374189146,-19.984918392070735,70.0
1.6,70.0,0.8,0.7696411058893228,3.7948617638346587,-19.985473550325,-19.98768747799242,0.01107768430827883,6.433117070389445e-27,0.03035889411067727,0.0022139276674195685,-19.98332392208512,70.0
1.8,60.0,0.8,0.7766081477063569,2.9239815367053943,-19.9840946143707,-19.986265532930993,0.010863231996165372,6.425743597540631e-27,0.023391852293643156,0.0021709185602922787,-19.98253839752662,60.0
2.0,70.0,0.8,0.769621864372987,3.797266953376635,-19.9826430118958,-19.984758580193905,0.010587029437727125,6.408046188017748e-27,0.03037813562701308,0.0021155682981053303,-19.980417461402617,70.0
2.2,60.0,0.8,0.7765929716007749,2.9258785499031434,-19.9812337391118,-19.983342600195268,0.010554208568910718,1.0028526516984553e-25,0.02340702839922515,0.002108861083467417,-19.979614820411367,60.0
2.4,60.0,0.8,0.7765848177439535,2.9268977820058186,-19.9798283691447,-19.982010893511237,0.010923639213585572,1.2523845587834822e-25,0.02341518225604655,0.002182524366538985,-19.978305747456563,60.0
2.6,60.0,0.8,0.7765767563630679,2.9279054546165195,-19.9784650696349,-19.980681019763445,0.011091693585171203,1.251860278234876e-25,0.023423243636932156,0.002215950128544364,-19.976975568201794,60.0
2.8,60.0,0.8,0.7765686839217012,2.9289145097873557,-19.9771055344316,-19.979354597299753,0.011258201866511783,1.2522379599789353e-25,0.023431316078298847,0.002249062868152407,-19.975648840670054,60.0
3.0,60.0,0.8,0.7765606005226401,2.9299249346699945,-19.9756733431688,-19.978031617085563,0.011805729280053112,1.2522590711538672e-25,0.023439399477359957,0.0023582739167622435,-19.974325556013447,60.0
3.2,60.0,0.8,0.7765525055282282,2.930936808971482,-19.9742068055476,-19.97671207009108,0.012542498272241583,1.252300275315894e-25,0.023447494471771857,0.0025052645434797682,-19.97300570519529,60.0
3.4,60.0,0.8,0.7765443978722582,2.9319502659677363,-19.9728209222263,-19.9753959473421,0.012892646090537346,1.252301155115776e-25,0.023455602127741892,0.002575025115799434,-19.971689279234106,60.0
3.6,60.0,0.8,0.7765362762500962,2.9329654687379745,-19.9714388687345,-19.97408323975303,0.013240763652084972,1.252334438967798e-25,0.023463723749903798,0.0026443710185297675,-19.970376267472314,60.0
3.8,70.0,0.8,0.7695321188538483,3.808485143268966,-19.9700224187202,-19.97260624347382,0.01293851704041796,5.904811367209616e-25,0.030467881146151732,0.0025838247536214,-19.968262168764372,70.0
4.0,60.0,0.8,0.7765210445470689,2.934869431616388,-19.9686481269663,-19.971221793689665,0.012888537606553806,5.904776065117975e-25,0.023478955452931105,0.002573666723364454,-19.967491232440953,60.0
4.2,60.0,0.8,0.7765127780885648,2.935902738929408,-19.9673537812431,-19.96992154552305,0.012859812612529307,5.904718894799708e-25,0.023487221911435263,0.0025677642799486478,-19.966213626676552,60.0
4.4,60.0,0.801,0.776504592420837,3.058103318247568,-19.9660629951806,-19.968623023760713,0.012821899744237116,5.90479398141567e-25,0.02449540757916302,0.0025600285801132827,-19.964914523220042,60.0
