time_s,input_current_density_A_m2,experiment_voltage_V,model_voltage_V,voltage_relative_error_percent,experiment_temperature_C,model_mean_temperature_full_domain_C,temperature_relative_error_percent_C_basis,model_max_ice_volume_fraction,voltage_absolute_error_V,temperature_absolute_error_C,model_mean_temperature_MEA_C,model_input_current_density_A_m2
0.0,66.006600660066,0.799,0.758763916674119,5.035805172200378,-24.9954164846888,-24.999999999999993,0.018337423239179605,0.0,0.04023608332588102,0.004583515311193054,-24.999999999999993,66.006600660066
0.2,69.3069306930693,0.799,0.7566044057718989,5.3060818808637205,-24.9954164846888,-24.998095187749634,0.01071677706380616,1.99921422729792e-26,0.04239559422810113,0.0026787030608339535,-24.993705521227813,69.3069306930693
0.4,66.006600660066,0.799,0.7587718467485578,5.034812672270618,-24.9939652961073,-24.996520588159882,0.010223636074978476,1.9992320143402315e-26,0.040228153251442245,0.002555292052580427,-24.99233686767689,66.006600660066
0.6,66.006600660066,0.799,0.7587672931332136,5.035382586581537,-24.9925613010652,-24.994977256732874,0.009666698977224056,4.1555858737998714e-26,0.04023270686678648,0.002415955667672165,-24.990800941278778,66.006600660066
0.8,69.3069306930693,0.799,0.7565897877331271,5.30791142263741,-24.9911229816268,-24.99338095233288,0.009035091011087565,5.40868704425642e-26,0.042410212266872915,0.0022579707060828014,-24.988990271400045,69.3069306930693
1.0,66.006600660066,0.8,0.7587588190466562,5.155147619167979,-24.9896887304606,-24.991818613539863,0.00852304765471898,2.2156975466059974e-25,0.04124118095334384,0.002129883079263095,-24.987633885004293,66.006600660066
1.2,66.006600660066,0.799,0.7587544480487621,5.0369902316943564,-24.9882968823982,-24.990287511977638,0.007966247515014605,2.2157567015290276e-25,0.04024555195123791,0.0019906295794385187,-24.98611019056601,66.006600660066
1.4,69.3069306930693,0.8,0.7565757596365371,5.428030045432865,-24.9868705327381,-24.98870339523304,0.00733530232422787,2.215964323199317e-25,0.04342424036346293,0.0018328624949397465,-24.984311606086983,69.3069306930693
1.6,59.4059405940594,0.8,0.7634285918019608,4.57142602475491,-24.985524800531,-24.987265840683655,0.006968195251269704,3.561383844214172e-25,0.03657140819803928,0.0017410401526554153,-24.983506741289133,59.4059405940594
1.8,72.6072607260726,0.8,0.7544877859426197,5.689026757172546,-24.9841445358099,-24.98568682636449,0.006173077298597976,3.5616389293367317e-25,0.045512214057380374,0.0015422905545889876,-24.98109511330686,72.6072607260726
2.0,66.006600660066,0.8,0.7587377171110901,5.157785361113747,-24.9826913133056,-24.984116750118563,0.005705697577117546,3.5617034863038806e-25,0.041262282888909985,0.0014254368129620332,-24.97992265204922,66.006600660066
2.2,69.3069306930693,0.8,0.7565572852010685,5.430339349866447,-24.9812806025465,-24.982549775467394,0.005080495836402733,3.635385985423377e-25,0.04344271479893158,0.0012691729208924585,-24.978156669977093,69.3069306930693
2.4,66.006600660066,0.8,0.7587295147394554,5.1588106575680825,-24.9798738175426,-24.98101561217654,0.0045708582928850735,3.690969707708785e-25,0.041270485260544665,0.0011417946339413731,-24.97682856262078,66.006600660066
2.6,66.006600660066,0.8,0.7587252474967126,5.159344062910936,-24.9785092749632,-24.97951261456016,0.004016811355371749,3.6909699560192214e-25,0.04127475250328749,0.0010033395969593073,-24.97533301546628,66.006600660066
2.8,66.006600660066,0.8,0.7587210180115953,5.159872748550592,-24.9771485174843,-24.978012975402926,0.0034609952293886003,3.6909711801096893e-25,0.04127898198840474,0.000864457918627437,-24.97383304967482,66.006600660066
3.0,72.6072607260726,0.8,0.7544582215475184,5.692722306560205,-24.9757148215872,-24.97640418136958,0.002760120330110943,3.6909205251778247e-25,0.04554177845248164,0.0006893597823811604,-24.971794822719236,72.6072607260726
3.2,69.3069306930693,0.8,0.7565350244075955,5.433121949050573,-24.9742466427357,-24.974802803278205,0.0022269362133765904,3.6909172961059326e-25,0.04346497559240459,0.0005561605425050686,-24.97039241942837,69.3069306930693
3.4,66.006600660066,0.8,0.7587093488744399,5.161331390695023,-24.9728594600344,-24.973289883428745,0.0017235647164630975,3.6909163928888564e-25,0.041290651125560185,0.0004304233943450697,-24.969101086505734,66.006600660066
3.6,69.3069306930693,0.8,0.7565259935513239,5.43425080608452,-24.9714761302039,-24.971750526033343,0.0010988370411599997,3.6909155550710324e-25,0.04347400644867616,0.00027439582944310814,-24.967355041739275,69.3069306930693
3.8,69.3069306930693,0.8,0.7565217140467817,5.434785744152292,-24.9700582752618,-24.97018801335388,0.0005195746467663985,3.7075598082109255e-25,0.04347828595321834,0.00012973809208105536,-24.965784518711022,69.3069306930693
4.0,66.006600660066,0.8,0.7586973506468607,5.1628311691424145,-24.9686827526186,-24.968686552086655,1.5216934315675938e-05,3.717047957291227e-25,0.04130264935313932,3.7994680539554793e-06,-24.96449690843708,66.006600660066
4.2,62.7062706270627,0.8,0.7609805419513991,4.87743225607512,-24.9673874768015,-24.967271957849263,0.0004626793746137212,3.717049080770576e-25,0.03901945804860096,0.00011551895223504971,-24.963303303535813,62.7062706270627
4.4,66.006600660066,0.8,0.758688521572979,5.163934803377637,-24.9660957798237,-24.96583075848741,0.0010615249521872866,3.9423979918826117e-25,0.0413114784270211,0.00026502133628980573,-24.961656062195328,66.006600660066
4.6,66.006600660066,0.801,0.7586843330558447,5.282854799520017,-24.9647695179154,-24.964366157102766,0.001615720154532238,3.942414200834416e-25,0.04231566694415534,0.0004033608126334798,-24.96018332430371,66.006600660066
4.8,66.006600660066,0.8,0.7586801080475358,5.164986494058026,-24.9634469494401,-24.962905917604232,0.0021672961949724314,3.942413323839858e-25,0.041319891952464216,0.0005410318358691768,-24.958722770683742,66.006600660066
5.0,66.006600660066,0.8,0.7586758833215942,5.165514584800732,-24.9621280589219,-24.961449432545752,0.002718623887131642,3.942413367205535e-25,0.04132411667840585,0.0006786263761462408,-24.957265515053653,66.006600660066
5.2,72.6072607260726,0.801,0.7544037639249241,5.817257936963284,-24.9607362991643,-24.959883735713916,0.00341561819397074,3.942416992329478e-25,0.0465962360750759,0.0008525634503833146,-24.95527077554257,72.6072607260726
5.4,66.006600660066,0.801,0.7586681577454883,5.284874189077615,-24.9593484385975,-24.958381819354837,0.0038727743436182223,3.9424232006001007e-25,0.0423318422545117,0.0009666192426642795,-24.954181745219426,66.006600660066
5.6,62.7062706270627,0.801,0.7609542639534327,4.99946767123188,-24.9580790687409,-24.95699462045024,0.004345079153227953,3.942421410845675e-25,0.04004573604656736,0.00108444829066201,-24.953023836349324,62.7062706270627
5.8,66.006600660066,0.801,0.7586592589010855,5.2859851559194135,-24.9568132021896,-24.95558014746464,0.004940753913450504,3.9486308783234865e-25,0.0423407410989145,0.0012330547249597146,-24.951403246640172,66.006600660066
6.0,66.006600660066,0.802,0.7586550556856042,5.404606522991999,-24.9555127513403,-24.954142331935632,0.005491449598026246,3.9486301306207414e-25,0.04334494431439584,0.0013704194046688656,-24.949957235689578,66.006600660066
6.2,72.6072607260726,0.797,0.7543787169095248,5.347714314990613,-24.9541394625192,-24.952595588769864,0.00618684427750554,3.948620896980775e-25,0.04262128309047519,0.001543873749337621,-24.947980860530304,72.6072607260726
